AK,  Alaska,  Juneau
AL,  Alabama, Montgomery
AR,  Arkansas,    Little Rock
AS,  American Samoa,  Pago Pago
AZ,  Arizona, Phoenix
CA,  California,  Sacramento
CO,  Colorado,    Denver
CT,  Connecticut, Hartford
DC,  District of Columbia,    Washington
DE,  Delaware,    Dover
FL,  Florida, Tallahassee
FM,  Federated States of Micronesia,  Palikir
GA,  Georgia, Atlanta
GU,  Guam,    Hagatna (Agana)
HI,  Hawaii,  Honolulu
IA,  Iowa,    Des Moines
ID,  Idaho,   Boise
IL,  Illinois,    Springfield
IN,  Indiana, Indianapolis
KS,  Kansas,  Topeka
KY,  Kentucky,    Frankfort
LA,  Louisiana,   Baton Rouge
MA,  Massachusetts,   Boston
ME,  Maine,   Augusta
MD,  Maryland,    Annapolis
MH,  Marshall Islands,    Majuro
MI, Michigan,    Lansing
MN,  Minnesota,   St. Paul
MO,  Missouri,    Jefferson City
MP,  Northern Mariana Islands,    Saipan
MS,  Mississippi, Jackson
MT,  Montana, Helena
NC,  North Carolina,  Raleigh
ND,  North Dakota,    Bismarck
NE,  Nebraska,    Lincoln
NH,  New Hampshire,   Concord
NJ, New Jersey,  Trenton
NM,  New Mexico,  Santa Fe
NV,  Nevada,  Carson City
NY,  New York,    Albany
OH,  Ohio,    Columbus
OK,  Oklahoma,    Oklahoma City
OR,  Oregon,  Salem
PA,  Pennsylvania,    Harrisburg
PR,  Puerto Rico, San Juan
PW,  Palau,   Koror
RI,  Rhode Island,   Providence
SC,  South Carolina,  Columbia
SD,  South Dakota,    Pierre
TN,  Tennessee,   Nashville
TX,  Texas,   Austin
UT,  Utah,    Salt Lake City
VI,  Virgin Islands,  St. Thomas
VT,  Vermont, Montpelier
VA,  Virginia,    Richmond
WA,  Washington,  Olympia
WI,  Wisconsin,   Madison
WV,  West Virginia,   Charleston
WY,  Wyoming, Cheyenne
